StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Course
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How satisfied are you with the instructor?,How satisfied are you with the contents of the course?,"How satisfied are you with the physical facilities where the course is conducted (e.g. the classroom, building, desks, etc.)?","If you answered ""dissatisfied"" to any of the questions, please tell us more. We would love to hear your feedback.",Course
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""Course""}"
2026-01-29 20:59:12,2026-01-29 20:59:57,IP Address,*******,100,44,True,2026-01-29 20:59:57,R_9DhZRPpo40jGnCC,*******,*******,*******,*******,*******,*******,anonymous,EN,Somewhat satisfied,Somewhat satisfied,Extremely dissatisfied,Prices can be reduced accordingly for online modules!,
2026-01-31 03:15:52,2026-01-31 03:16:03,IP Address,*******,100,11,True,2026-01-31 03:16:04,R_9bwOaj54MfSKKbv,*******,*******,*******,*******,*******,*******,anonymous,EN,Extremely satisfied,Extremely satisfied,Extremely satisfied,,
2026-02-05 01:21:09,2026-02-05 01:21:21,IP Address,*******,100,11,True,2026-02-05 01:21:21,R_4K38zbszB0MpXNU,*******,*******,*******,*******,*******,*******,anonymous,EN,Extremely satisfied,Extremely satisfied,Extremely satisfied,,/courses/196019
2026-02-05 04:34:27,2026-02-05 04:34:54,IP Address,*******,100,27,True,2026-02-05 04:34:55,R_9EKh5qXcRpkJrGM,*******,*******,*******,*******,*******,*******,anonymous,EN,Extremely satisfied,Extremely satisfied,Extremely satisfied,,/courses/196016
2026-02-05 04:35:05,2026-02-05 04:35:12,IP Address,*******,100,6,True,2026-02-05 04:35:12,R_9EihKcZpHiYZo5w,*******,*******,*******,*******,*******,*******,anonymous,EN,Extremely satisfied,Extremely satisfied,Extremely satisfied,,/courses/196015
2026-02-05 04:35:26,2026-02-05 04:35:43,IP Address,*******,100,16,True,2026-02-05 04:35:43,R_9FRU8fUNHQvXeux,*******,*******,*******,*******,*******,*******,anonymous,EN,Extremely satisfied,Somewhat satisfied,Extremely satisfied,,/courses/196025
2026-02-07 07:57:56,2026-02-07 07:58:11,IP Address,*******,100,14,True,2026-02-07 07:58:11,R_9Xwq6MAFhIqH2sV,*******,*******,*******,*******,*******,*******,anonymous,EN,Somewhat satisfied,Somewhat satisfied,Extremely satisfied,,/courses/196026
2026-02-07 07:58:25,2026-02-07 07:58:32,IP Address,*******,100,7,True,2026-02-07 07:58:32,R_9kQ3Vki329zdSBr,*******,*******,*******,*******,*******,*******,anonymous,EN,Extremely satisfied,Extremely satisfied,Extremely satisfied,,/courses/197981
2026-02-07 07:58:49,2026-02-07 07:58:55,IP Address,*******,100,6,True,2026-02-07 07:58:56,R_9bG5RQRpK0LcY4p,*******,*******,*******,*******,*******,*******,anonymous,EN,Somewhat satisfied,Extremely satisfied,Extremely satisfied,,/courses/196023
2026-02-08 04:28:56,2026-02-08 04:29:21,IP Address,*******,100,24,True,2026-02-08 04:29:22,R_4EQJoGqEheibWdv,*******,*******,*******,*******,*******,*******,anonymous,EN,Extremely satisfied,Somewhat satisfied,Extremely satisfied,,/courses/196016
2026-02-09 04:27:40,2026-02-09 04:27:52,IP Address,*******,100,12,True,2026-02-09 04:27:53,R_4EyuKDgX6ZebGJF,*******,*******,*******,*******,*******,*******,anonymous,EN,Extremely satisfied,Somewhat satisfied,Extremely satisfied,,/courses/196015
